series,episode,baker,signature_bake,show_stopper,technical,result,last_name,baker_age,baker_occupation,hometown
4,1,Robert,Pecan and Apple Cake,Raspberry Chocolate Cake,1,STAR BAKER,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
4,1,Ruby,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake,12,IN,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex"
4,1,Toby,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake,13,OUT,Waterworth,30,Web Programmer,"Reading, Berkshire"
4,2,Ali,Italian Grissini,Sweet and Savoury Yin Yang Bread,9,IN,Imdad,25,Charity worker,"Saltley, Birmingham"
4,2,Beca,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath,11,IN,Lyne,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
4,2,Christine,Mediterranean Breadsticks with Oregano,Double Plaited Loaf,4,IN,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire"
4,2,Deborah,Fennel & Chilli Breadsticks,Walnut Fleur Loaf,8,IN,Manger,51,Dentist,Peterborough
4,2,Frances,Giant Matchsticks,Sailor's Knot,2,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
4,2,Glenn,Rosemary and Parmesan Grissini,Harvest Crown,7,IN,Cosby,37,English Teacher,"Teignmouth, Devon"
4,2,Howard,Moroccan Breadsticks,Picasso Sun Bread,10,IN,Middleton,51,Council Worker,Sheffield
4,2,Kimberley,Nigella Seed and Parmesan Breadsticks,Peace Bread,1,IN,Wilson,30,Psychologist,London
4,2,Lucy,Grissini with Salt,Roast Tomato Bread,12,OUT,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire"
4,2,Mark,Rosemary & Raisin Breadsticks,Sage & Garlic Plait,6,IN,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes
4,2,Robert,Twisty Rye Bread Sticks,Tribute Loaf,5,IN,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
4,2,Ruby,Mexican Breadsticks,White Chocolate and Orange Peacock Bread,3,STAR BAKER,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex"
4,3,Ali,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,5,IN,Imdad,25,Charity worker,"Saltley, Birmingham"
4,3,Beca,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread,10,IN,Lyne,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
4,3,Christine,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels,4,STAR BAKER,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire"
4,3,Deborah,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies,9,OUT,Manger,51,Dentist,Peterborough
4,3,Frances,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,8,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
4,3,Glenn,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers,1,IN,Cosby,37,English Teacher,"Teignmouth, Devon"
4,3,Howard,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,7,IN,Middleton,51,Council Worker,Sheffield
4,3,Kimberley,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits,6,IN,Wilson,30,Psychologist,London
4,3,Mark,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites,11,OUT,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes
4,3,Robert,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons,2,IN,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
4,3,Ruby,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,3,IN,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex"
4,4,Ali,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",8,OUT,Imdad,25,Charity worker,"Saltley, Birmingham"
4,4,Beca,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast,2,IN,Lyne,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
4,4,Christine,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese,7,IN,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire"
4,4,Frances,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie,1,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
4,4,Glenn,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese),9,IN,Cosby,37,English Teacher,"Teignmouth, Devon"
4,4,Howard,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan,5,IN,Middleton,51,Council Worker,Sheffield
4,4,Kimberley,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie",4,STAR BAKER,Wilson,30,Psychologist,London
4,4,Robert,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms,3,IN,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
4,4,Ruby,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie",6,IN,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex"
4,5,Beca,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece,5,IN,Lyne,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
4,5,Christine,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower,1,STAR BAKER,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire"
4,5,Frances,Millionaire Banoffee Bonus,Biscuit Buttons and Beads,3,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
4,5,Glenn,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter,2,IN,Cosby,37,English Teacher,"Teignmouth, Devon"
4,5,Howard,Breakfast Traybake,Japanese Pagoda Tea Tower,8,IN,Middleton,51,Council Worker,Sheffield
4,5,Kimberley,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack,7,IN,Wilson,30,Psychologist,London
4,5,Robert,Blueberry & Orange Traybake,Dalek,4,OUT,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
4,5,Ruby,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece,6,IN,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex"
4,6,Beca,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,6,IN,Lyne,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
4,6,Christine,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød,4,IN,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire"
4,6,Frances,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches,2,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
4,6,Glenn,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen,5,IN,Cosby,37,English Teacher,"Teignmouth, Devon"
4,6,Howard,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken,7,OUT,Middleton,51,Council Worker,Sheffield
4,6,Kimberley,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,3,IN,Wilson,30,Psychologist,London
4,6,Ruby,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns,1,STAR BAKER,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex"
4,7,Beca,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,1,IN,Lyne,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
4,7,Christine,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,6,IN,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire"
4,7,Frances,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,5,STAR BAKER,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
4,7,Glenn,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,3,OUT,Cosby,37,English Teacher,"Teignmouth, Devon"
4,7,Kimberley,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",4,IN,Wilson,30,Psychologist,London
4,7,Ruby,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,2,IN,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex"
4,8,Beca,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake,4,IN,Lyne,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
4,8,Christine,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,5,OUT,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire"
4,8,Frances,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",3,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
4,8,Kimberley,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House,2,IN,Wilson,30,Psychologist,London
4,8,Ruby,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot,1,STAR BAKER,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex"
4,9,Beca,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake,3,OUT,Lyne,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
4,9,Frances,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake,2,IN,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
4,9,Kimberley,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake,1,STAR BAKER,Wilson,30,Psychologist,London
4,9,Ruby,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",4,IN,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex"
4,10,Frances,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake,3,WINNER,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
4,10,Kimberley,Chicken and Pig Pie,Languages of Love Wedding Cake,1,Runner-up,Wilson,30,Psychologist,London
4,10,Ruby,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake",2,Runner-up,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex"
5,1,Chetna,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,3,IN,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,1,Claire,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes,8,OUT,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford"
5,1,Diana,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises,5,IN,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,1,Enwezor,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares,9,IN,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire"
5,1,Iain,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",4,IN,Watters,31,Construction Engineer,London/Belfast
5,1,Jordan,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd,12,IN,Cox,32,IT Manager,"Sneinton, Nottingham"
5,1,Kate,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges,6,IN,Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,1,Luis,Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles,7,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,1,Martha,Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes,2,IN,Collison,17,Student,"Ascot, Berkshire"
5,1,Nancy,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes,1,STAR BAKER,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,1,Norman,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes,11,IN,Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,1,Richard,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes,10,IN,Burr,38,Builder,"Mill Hill, London"
5,2,Chetna,Fenugreek and Carom Crackers,Day On The Beach,8,IN,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,2,Diana,Parmesan Triangles,"Express, First Class",7,IN,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,2,Enwezor,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene,9,OUT,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire"
5,2,Iain,Za'atar and Fig Biscuits,Wild West Scene,11,IN,Watters,31,Construction Engineer,London/Belfast
5,2,Jordan,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack,6,IN,Cox,32,IT Manager,"Sneinton, Nottingham"
5,2,Kate,Parmesan and Apple Biscuits,Tea Time,4,IN,Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,2,Luis,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon,3,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,2,Martha,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene,5,IN,Collison,17,Student,"Ascot, Berkshire"
5,2,Nancy,Fennel and Rye Thins,Hansel and Gretel Scene,2,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,2,Norman,Farthing Biscuits,Zulu Boats at Dawn,10,IN,Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,2,Richard,Rosemary Seeded Crackers,Pirates!,1,STAR BAKER,Burr,38,Builder,"Mill Hill, London"
5,3,Chetna,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,8,IN,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,3,Diana,Rustic Picnic Rolls,Sharing Savoury Pinwheel,7,IN,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,3,Iain,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip,9,IN,Watters,31,Construction Engineer,London/Belfast
5,3,Jordan,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche,10,OUT,Cox,32,IT Manager,"Sneinton, Nottingham"
5,3,Kate,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread",1,IN,Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,3,Luis,Opposites Attract Rolls,Roscón de Reyes,2,STAR BAKER,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,3,Martha,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf,3,IN,Collison,17,Student,"Ascot, Berkshire"
5,3,Nancy,Cider and Walnut Crusty Rolls,'Full English' Stromboli,5,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,3,Norman,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf,4,IN,Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,3,Richard,Rye and Cranberry Rolls,Pesto Pinwheel,6,IN,Burr,38,Builder,"Mill Hill, London"
5,4,Chetna,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",3,IN,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,4,Diana,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,9,IN,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,4,Iain,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",6,OUT,Watters,31,Construction Engineer,London/Belfast
5,4,Kate,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska",7,IN,Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,4,Luis,Pears in Puddings,Bakewell Alaska,2,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,4,Martha,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska,1,IN,Collison,17,Student,"Ascot, Berkshire"
5,4,Nancy,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska,4,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,4,Norman,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise,8,IN,Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,4,Richard,Black Forest Chocolate Fondants,Tiramisu Baked Alaska,5,STAR BAKER,Burr,38,Builder,"Mill Hill, London"
5,5,Chetna,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,2,IN,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,5,Kate,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies",3,STAR BAKER,Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,5,Luis,Tropical Manchester Tart,Four Fruity Seasons Tower,6,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,5,Martha,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie,1,IN,Collison,17,Student,"Ascot, Berkshire"
5,5,Nancy,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies,4,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,5,Norman,Tarte au Citron,Pieful Tower,5,OUT,Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,5,Richard,Fig and Orange Tart,Three Course Autumn Pie Feast,7,IN,Burr,38,Builder,"Mill Hill, London"
5,6,Chetna,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,2,STAR BAKER,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,6,Kate,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes,6,IN,Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,6,Luis,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill,3,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,6,Martha,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte,4,IN,Collison,17,Student,"Ascot, Berkshire"
5,6,Nancy,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,1,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,6,Richard,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,5,IN,Burr,38,Builder,"Mill Hill, London"
5,7,Chetna,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,6,IN,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,7,Kate,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs,4,OUT,Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,7,Luis,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",5,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,7,Martha,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,3,IN,Collison,17,Student,"Ascot, Berkshire"
5,7,Nancy,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,2,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,7,Richard,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",1,STAR BAKER,Burr,38,Builder,"Mill Hill, London"
5,8,Chetna,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,1,IN,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,8,Luis,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",2,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,8,Martha,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,5,OUT,Collison,17,Student,"Ascot, Berkshire"
5,8,Nancy,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",3,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,8,Richard,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,4,STAR BAKER,Burr,38,Builder,"Mill Hill, London"
5,9,Chetna,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",4,OUT,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,9,Luis,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",1,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,9,Nancy,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,3,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,9,Richard,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,2,STAR BAKER,Burr,38,Builder,"Mill Hill, London"
5,10,Luis,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,2,Runner-up,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,10,Nancy,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,1,WINNER,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,10,Richard,Pear Pain au ChocolatPain Au Lait,Mill on the Hill,3,Runner-up,Burr,38,Builder,"Mill Hill, London"
6,1,Alvin,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,2,IN,Magallanes,37,Nurse,"Bracknell, Berkshire"
6,1,Dorret,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,5,IN,Conway,53,Accountant,"Penwortham, Lancashire"
6,1,Flora,Blood Orange Madeira Cake,Black Forest Gâteau,6,IN,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,1,Ian,Somewhere West of Madeira Cake,Black Forest Cherry Tree,8,IN,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,1,Marie,Zingy Citrus Madeira Cake,A Walk in the Black Forest,3,STAR BAKER,Campbell,66,Retired,"Auchterarder, Perthshire"
6,1,Mat,Gin and Tonic Madeira Cake,Black Forest Gateau,7,IN,Riley,37,Fire fighter,London
6,1,Nadiya,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,12,IN,Hussain,30,Full-time mother,Leeds / Luton
6,1,Paul,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,10,IN,Jagger,49,Prison governor,"Swansea, Wales"
6,1,Sandy,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,9,IN,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire"
6,1,Stu,Marley Madeira Cake,Purple Forest Gâteau,11,OUT,Henshall,35,Professional musician,"Guildford, Surrey"
6,1,Tamal,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,4,IN,Ray,29,Trainee anaesthetist,Manchester
6,1,Ugnė,Lemon and Thyme Madeira Cake,Falling Cup Gâteau,1,IN,NA,NA,NA,NA
6,2,Alvin,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,6,IN,Magallanes,37,Nurse,"Bracknell, Berkshire"
6,2,Dorret,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,1,IN,Conway,53,Accountant,"Penwortham, Lancashire"
6,2,Flora,Wedding Biscotti,Honey and Earl Grey Tea Box,2,IN,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,2,Ian,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,3,STAR BAKER,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,2,Marie,Biscotti Italiano,Russian Box,11,OUT,Campbell,66,Retired,"Auchterarder, Perthshire"
6,2,Mat,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,5,IN,Riley,37,Fire fighter,London
6,2,Nadiya,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,9,IN,Hussain,30,Full-time mother,Leeds / Luton
6,2,Paul,"Chocolate, Hazelnut and Fig Biscotti",Memory Box,10,IN,Jagger,49,Prison governor,"Swansea, Wales"
6,2,Sandy,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,4,IN,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire"
6,2,Tamal,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,8,IN,Ray,29,Trainee anaesthetist,Manchester
6,2,Ugnė,White Wine Biscotti,Baby Climbing into the Cookie Box,7,IN,NA,NA,NA,NA
6,3,Alvin,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,4,IN,Magallanes,37,Nurse,"Bracknell, Berkshire"
6,3,Dorret,Walnut and Stilton Soda Breads,Unmade Bread,6,OUT,Conway,53,Accountant,"Penwortham, Lancashire"
6,3,Flora,Fig and Hazelnut Rye Breads,Herb Couture,2,IN,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,3,Ian,Wild Garlic Pesto Soda Breads,Flour Power,1,STAR BAKER,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,3,Mat,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,8,IN,Riley,37,Fire fighter,London
6,3,Nadiya,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,9,IN,Hussain,30,Full-time mother,Leeds / Luton
6,3,Paul,Cranberry and Orange Sweet Soda Breads,King of the Jungle,10,IN,Jagger,49,Prison governor,"Swansea, Wales"
6,3,Sandy,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,7,IN,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire"
6,3,Tamal,"Fig, Cheese and Walnut Breads",Breadcycle,3,IN,Ray,29,Trainee anaesthetist,Manchester
6,3,Ugnė,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,5,IN,NA,NA,NA,NA
